Project Name,Link,Flat Type,Price,Area,Area Type,Price per Sqft,Location,Highlights,Description,Property ID,Address,Society,Rating,Furnishing,Facilities,Nearby,Bedrooms,Bathrooms,Balcony,Additional Rooms,Floor Number,Property Age/Possession,Facing
Rajkiran Apartment,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rajkiran-apartment-alipore-kolkata-south-1587-sq-ft-spid-W82003138,3 BHK Flat,₹1.5 Cr,"1,587 sqft",Carpet Area,"₹9,451 /sqft","Alipore, Kolkata",,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in rajkiran apartment alipore kolkata . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 1 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natur...",W82003138,"Rajkiran Apartment, Alipore, Kolkata",,,[],[],"['Kalighat metro station', 'Jatin das park metro station', 'State bank of india ATM', 'Axis bank ATM', 'Union bank of india ATM']",3 Bedrooms,2 Bathrooms,1 Balcony,,4th   of 5 Floors,10+ Year Old,
Residential Flat,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-residential-flat-garia-kolkata-south-820-sq-ft-spid-R82341412,2 BHK Flat,₹50 Lac,820 sqft,Carpet Area,"₹6,097 /sqft","Garia, Kolkata",,"Just opposite shahid khudiram metro station (Less than one minute walk). Very near em bypass (Less than one minute walk). 2 bhk flat with dinning, kitchen, 2 bath rooms, 1 balcony. Flat completion certificate in 2021.",R82341412,"Residential Flat, Garia, Kolkata",,,[],"['Maintenance Staff', 'Water Storage', 'Visitor Parking']","['Shahid khudiram metro station', 'Kavi subhash metro station', 'Kavi nazrul metro station', 'Sitala mandir', 'Maa kali temple garia dhalua']",2 Bedrooms,2 Bathrooms,1 Balcony,,2nd   of 4 Floors,1 to 5 Year Old,West
Durga Apartment,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ashokgarh-kolkata-north-1250-sq-ft-spid-E81597597,3 BHK Flat,₹54 Lac,"1,250 sqft",Super Built-up Area,"₹4,480 /sqft","Ashokgarh, BT Road",Rain Water Harvesting,"Opposite ashokegarh bazar, near pwd road to dakshineswar (1 km),300 metres from dunlop crossing, facing a beautiful lake",E81597597,"Durga Apartment, Ashokgarh, BT Road",,,[],"['Water Storage', 'Rain Water Harvesting']","['Baranagar metro station', 'Dakshineshwar metro station', 'Paradise Nursing Home Kolkata', 'Nayandeep Eye Care', 'Sahid Khudiram Bose Hospital']",3 Bedrooms,2 Bathrooms,2 Balconies,,1st   of 4 Floors,10+ Year Old,West
Fortune Heights,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-fortune-heights-barasat-north-kolkata-1289-sq-ft-r1-spid-N76303715,3 BHK Flat,₹73 Lac,"1,289 sqft",Super Built-up Area,"₹5,663 /sqft","Barasat, Kolkata North",Top Floor,"Residential apartment this is your chance to a 3 bhk apartment flat for sale in fortune heights barasat kolkata north . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natu...",N76303715,"Fortune Heights, Barasat, Kolkata North",Fortune Heights,,[],"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center', 'Waste Disposal']","['Dum Dum Metro Station', 'Suncity Mall', 'National Highway 12', 'Brainware University', 'Barasat Government Medical College']",3 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,11st   of 11 Floors,1 to 5 Year Old,South-East
Adonis Enclave,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-panchpota-kolkata-south-695-sq-ft-spid-M81771964,2 BHK Flat,₹26 Lac,695 sqft,Super Built-up Area,"₹3,741 /sqft","Panchpota, Kolkata",,"One auto away from garia station & one toto away from new garia metro station Located in the popular residential address of panchpota, kolkata south, adonis enclave is one of the most preferred destination for apartments in kolkata south. This 2 bhk flat is your ticket to be a part of this community. This residential flat is west-Facing direction. Containing 2 bedroom(s), 1 bathroom and 1 balco...",M81771964,"Adonis Enclave, Panchpota, Kolkata",,,[],[],[],2 Bedrooms,1 Bathroom,1 Balcony,,1st   of 4 Floors,0 to 1 Year Old,West
Bankim Enclave,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-phoolbagan-kolkata-north-1483-sq-ft-spid-K80236443,3 BHK Flat,₹1.5 Cr,"1,483 sqft",Carpet Area,"₹10,114 /sqft","Phoolbagan, Kankurgachi",,"Residential apartment this is your chance to a 3 bhk apartment flat for sale in phoolbagan kankurgachi . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 1 balconies with 50 of the rooftop ownership.The balcony offers a great view and is a place to enjoy at any time. This house p...",K80236443,"Bankim Enclave, Phoolbagan, Kankurgachi",,,"['1 Water Purifier', '7 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Stove', '7 Light', '2 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '4 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']",[],"['Phoolbagan metro station', 'Salt lake stadium metro station', 'Bengal chemical metro station', 'Federal bank ATM', 'State bank of india ATM']",3 Bedrooms,3 Bathrooms,1 Balcony,,4th   of 4 Floors,10+ Year Old,
Kendriya Vihar Phase 2,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-belgharia-north-24-parganas-1800-sq-ft-spid-L81941840,4 BHK Flat,₹95 Lac,"1,800 sqft",Built-up Area,"₹5,277 /sqft","Belgharia, BT Road",,"Encompassing an area of more than 11 acres is one of such housing project accomplished by cgewho, an autonomous body under the ministry of housing & employee welfare housing, government of india. The apartment owners have successfully established its own association and have fully taken over the maintenance responsibility from cgewho. The housing complex is located near kolkata airport on the b...",L81941840,"Kendriya Vihar Phase 2, Belgharia, BT Road",,,[],[],"['Baranagar metro station', 'Orbis Eye and Dental Care Centre', 'Zenith Super Specialist Hospital', 'Sahid Khudiram Bose Hospital']",4 Bedrooms,4 Bathrooms,3+ Balconies,,6th   of 6 Floors,1 to 5 Year Old,
Elevate Godrej Se7en,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-elevate-godrej-se7en-joka-kolkata-south-952-sq-ft-spid-I81664590,2 BHK Flat,₹60 Lac,952 sqft,Super Built-up Area,"₹6,302 /sqft","Joka, Kolkata South",,Joka has highest price escalation in whole of kolkata. Very close to upcoming metro station on joka-Esplqnade route. Godrej is a well respected and reputed developer. Premium property. Excellent design. Plenty of greenary and open space.,I81664590,"Elevate Godrej Se7en, Joka, Kolkata South",Elevate Godrej Se7en,,[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","['Joka Metro Station', 'South City Mall', 'NH 12', 'Kolkata Model School', 'IIM–Calcutta', 'Bharat Sevashram Sangha Hospital']",2 Bedrooms,2 Bathrooms,2 Balconies,,11st   of 23 Floors,Dec 2027,
Eternia,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-eternia-madhyamgram-kolkata-north-1261-sq-ft-spid-V83446748,3 BHK Flat,₹70 Lac,"1,261 sqft",Super Built-up Area,"₹5,551 /sqft","Madhyamgram, Kolkata",Fitness Center/ Gym,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in eternia madhyamgram kolkata . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural ligh...",V83446748,"Eternia, Madhyamgram, Kolkata",Eternia,,[],"['Intercom Facility', 'Lift(s)', 'Fitness Centre / GYM']","['Star Mall', 'NH 12', 'Sunshine Academy School', 'Barasat College', 'Barasat hospital', 'Kolkata Airport', 'Agarpara Station']",3 Bedrooms,2 Bathrooms,2 Balconies,,4th   of 7 Floors,Sep 2027,
Gitanjali Park (East End Park) Purple Rose,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kalikapur-kolkata-south-1206-sq-ft-spid-S82714774,3 BHK Flat,₹95 Lac,"1,206 sqft",Built-up Area,"₹8,291 /sqft","Kalikapur, Kolkata",,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in kalikapur kolkata . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 1 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has ...",S82714774,"Gitanjali Park (East End Park) Purple Rose, Kalikapur, Kolkata",,,[],[],"['Hindu Temple', 'Hanuman Mandir', 'Shitala Mandir', 'Kali Mandir', 'Lord Shiva Temple', 'Sada Kali Mandir', 'Maa kali temple']",3 Bedrooms,2 Bathrooms,1 Balcony,,1st   of 3 Floors,10+ Year Old,
"Small complex, shantiuddan",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-behala-chowrasta-kolkata-south-2000-sq-ft-spid-R80172545,3 BHK Flat,₹1.3 Cr,"2,000 sqft",Super Built-up Area,"₹6,500 /sqft","Behala Chowrasta, Kolkata",Top Floor,"This 3 bhk flat is located in small complex, which houses some of the most spacious flats in behala chowrasta, kolkata south. The flat occupies a super built up area of 2000 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The property is located on the top floor of a 4 floors tall building. This is a ready to move project and the property is 10+ years old.",R80172545,"Small complex, shantiuddan, Behala Chowrasta, Kolkata",,,"['6 Fan', '1 Exhaust Fan', '5 Geyser', '6 Light', '5 AC']",[],"['Behala Market', 'Santoshi Maa Mandir', 'Kali Temple', 'Jagannath Temple', 'Laxmi Narayan Mandir', 'Sitala Mandir']",3 Bedrooms,3 Bathrooms,3 Balconies,,4th   of 4 Floors,10+ Year Old,
Sayan Apartment,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sayan-apartment-sakher-bazar-kolkata-south-950-sq-ft-spid-D79545635,2 BHK Flat,₹42 Lac,950 sqft,Super Built-up Area,"₹4,421 /sqft","Sakher Bazar, Barisha",Overlooking Main Road,"This beautiful 2 bhk flat in sakher bazar, kolkata south is situated in sayan apartment, one of the popular residential society in kolkata south. The flat is north-East-Facing. The flat occupies a super built up area of 950 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. This flat lies on the 2nd level of a 3 storey building. Another plus point for this is that it is situated nea...",D79545635,"Sayan Apartment, Sakher Bazar, Barisha",,,[],"['Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Natural Light']","['Behala Market', 'Santoshi Maa Mandir', 'Kali Temple', 'Jagannath Temple', 'Dhali Para Masjid', 'Laxmi Narayan Mandir']",2 Bedrooms,2 Bathrooms,1 Balcony,,2nd   of 3 Floors,5 to 10 Year Old,North-East
