Project Name,Link,Flat Type,Price,Area,Area Type,Price per Sqft,Location,Highlights,Description,Property ID,Address,Society,Rating,Furnishing,Facilities,Nearby,Overlooking,Bedrooms,Bathrooms,Balcony,Additional Rooms,Floor Number,Property Age/Possession,Facing
Larika Tolly,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-larika-tolly-haridevpur-kolkata-south-1059-sq-ft-r1-spid-R70002428,3 BHK Flat,50 Lac,"1,059 sqft",Carpet Area,"4,721 /sqft","Haridevpur, Putiary, Kolkata",,"Check out this 3 bhk apartment for sale in larika tolly, a popular residential project that houses in-Demand flats in , kolkata south. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 1059 sq.Ft. The property is located on the top floor of a 4 floors tall building. As the project is already ready to move, so you can easily move into this 5-10 years...",R70002428,"Larika Tolly, Haridevpur, Putiary, Kolkata",,,[],"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Club house / Community Center']","['Netaji metro station', 'Gouria moth', 'Santoshi Maa Mandir', 'Dhali Para Masjid', 'Shibaloy', 'Kali Temple', 'Sbi ATM']",['Park/Garden'],3 Bedrooms,2 Bathrooms,2 Balconies,,4th   of 4 Floors,5 to 10 Year Old,
Elgin Tower,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-elgin-tower-batanagar-kolkata-south-2370-sq-ft-r2-spid-H75332101,3 BHK Flat,77 Lac,"2,370 sqft",Super Built-up Area,"3,375 /sqft","BataNagar, Kolkata",,"This 3 bhk flat is located in elgin, which houses some of the most spacious flats in batanagar, kolkata south. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 2370 sq.Ft. The flat has a total of 14 floors and this property is situated on top floor. An added advantage of this 5-10 years old flat is that it is available for immediate possess...",H75332101,"Elg Tower, BataNagar, Kolkata",,,"['2 Bed', '1 Wardrobe', '6 Fan', '1 Exhaust Fan', '1 Dining Table', '10 Light']","['Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Club house / Community Center']","['kali mandir', 'Shiv mandir', 'ESI Hospital', 'Sarangabad School', 'Nangi railway station', 'Akra railway station']","['Pool,Park/Garden']",3 Bedrooms,2 Bathrooms,2 Balconies,Store Room,14th   of 14 Floors,5 to 10 Year Old,
Usha Apartment,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-usha-apartment-diamond-park-kolkata-south-1350-sq-ft-spid-A83280088,3 BHK Flat,51 Lac,"1,350 sqft",Carpet Area,"3,777 /sqft","Diamond Park, Joka",Top Floor,"This is your chance to a 3 bhk apartment / flat for sale in usha apartment diamond park joka . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ve...",A83280088,"Usha Apartment, Diamond Park, Joka",,,"['1 Bed', '2 Fan', '1 Microwave', '2 Light']","['Lift(s)', 'Natural Light', 'Airy Rooms']","['Dhali Para Masjid', 'Santoshi Maa Mandir', 'Kasturi Medical Centre Pvt Ltd', 'Bangur Medicare Research Institute', 'Swadesh Basu Hospital']","['Main Road,Park/Garden']",3 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,4th   of 4 Floors,5 to 10 Year Old,South
Rajdanga,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-rajdanga-kasba-kolkata-south-1175-sq-ft-r1-spid-R75693285,2 BHK Flat,1.25 Cr,"1,175 sqft",Super Built-up Area,"10,638 /sqft","Kasba, Kolkata",,"We are the proud owners of this 2 bhk apartment available in rajdanga, kasba, kolkata south. This it is a and the unit is located on 4th floor and has a super built-Up area of 1175 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.",R75693285,"Rajdanga, Kasba, Kolkata",,,[],[],"['Sitala Mandir-Bondel Road', 'Battala Sitala Mandir', 'Radha Krishna Temple', 'Shani Temple', 'Gariahat Sarbojanin Durgotsab']",[],2 Bedrooms,2 Bathrooms,No Balcony,,4th   of 5 Floors,5 to 10 Year Old,
Shrachi Rosedale Garden,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shrachi-rosedale-garden-new-town-kolkata-east-879-sq-ft-spid-D82835778,2 BHK Flat,1.22 Cr,879 sqft,Built-up Area,"13,879 /sqft","New Town, Kolkata",,"Residential apartment This is your chance to a 2 bhk apartment / flat for sale in shrachi rosedale garden new town kolkata . Where luxury comes with affordability. Basic details: You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample...",D82835778,"Shrachi Rosedale Garden, New Town, Kolkata",Shrachi Rosedale Garden,,"['2 Bed', '2 Wardrobe', '2 Fan', '2 Light']",[],"['Salt Lake Sector V Metro Station', 'Central Mall', 'Biswa Bangla Sarani', ""St. Xavier's University"", 'Orchids The International School']",[],2 Bedrooms,2 Bathrooms,2 Balconies,,6th   of 9 Floors,5 to 10 Year Old,
Sun Hilla Tower,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-belur-howrah-402-sq-ft-spid-B81980786,1 BHK Flat,25 Lac,402 sqft,Built-up Area,"6,218 /sqft","Belur, Howrah","Fresh Construction
Overlooking Park/Garden
+1","Residential apartment This is your chance to a 1 bhk apartment / flat for sale in belur howrah . Where luxury comes with affordability. Basic details: You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ...",B81980786,"Sun Hilla Tower, Belur, Howrah",,,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Airy Rooms', 'Spacious Interiors', 'Club house / Community Center']","['Tulsiram Lakshmi Devi Jaiswal Hospital', 'Eastern Railway Hospital', 'Satya Bala Devi ID Hospital', 'Swasti Nursing Home']",['Park/Garden'],1 Bedroom,1 Bathroom,1 Balcony,,3rd   of 4 Floors,0 to 1 Year Old,
Elgin Tower,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-elgin-tower-batanagar-kolkata-south-1305-sq-ft-spid-N82743252,3 BHK Flat,68 Lac,"1,305 sqft",Built-up Area,"4,980 /sqft","BataNagar, Kolkata",,"Residential apartment This is your chance to a 3 bhk apartment / flat for sale in hiland greens maheshtala kolkata . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural...",N82743252,"Elg Tower, BataNagar, Kolkata",,,"['3 Fan', '1 Geyser', '3 Light', '1 AC']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Security Personnel', 'Spacious Interiors', 'Fitness Centre / GYM', 'Club house / Community Center']","['kali mandir', 'Shiv mandir', 'ESI Hospital', 'Sarangabad School', 'Nangi railway station', 'Akra railway station']","['Park/Garden,Others']",3 Bedrooms,2 Bathrooms,2 Balconies,,6th   of 14 Floors,5 to 10 Year Old,South-East
Destination Peerless,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-destination-peerless-konnagar-hooghly-1086-sq-ft-spid-Z80579955,2 BHK Flat,34 Lac,"1,086 sqft",Built-up Area,"3,130 /sqft","Konnagar, Hooghly",Gated Society,"Destination peerless is one of hooghly's most sought after destination for apartments and this 2 bhk flat in konnagar is your opportunity to be a part of this community. This residential flat is south-East-Facing direction. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a built up area of 1086 sq.Ft. The flat has a total of 11 floors and this property is situated...",Z80579955,"Destation Peerless, Konnagar, Hooghly",,,"['3 Geyser', '13 Light', '1 Chimney']",['Lift(s)'],[],[],2 Bedrooms,2 Bathrooms,3 Balconies,,1st   of 11 Floors,10+ Year Old,South-East
DTC Capital City,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dtc-capital-city-rajarhat-kolkata-east-1150-sq-ft-spid-K81695274,3 BHK Flat,90 Lac,"1,150 sqft",Super Built-up Area,"13,888 /sqft","Rajarhat, Kolkata","Close to Airport
Close to School
+2","Residential apartment This is your chance to a 3 bhk apartment / flat for sale in dtc capital city rajarhat kolkata . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natura...",K81695274,"DTC Capital City, Rajarhat, Kolkata",DTC Capital City,,[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","['City Centre 2 - Metro Station', 'Centrus Mall', 'Rajarhat Main Rd', 'National English School, Rajarhat Campus', 'Amity University Kolkata']","['Pool,Park/Garden,Club']",3 Bedrooms,2 Bathrooms,3 Balconies,"Others,Pooja Room,Study Room",5th   of 14 Floors,Dec 2026,South
Sun Hilla Tower,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-belur-howrah-1022-sq-ft-spid-X81980526,3 BHK Flat,66 Lac,"1,022 sqft",Built-up Area,"6,457 /sqft","Belur, Howrah","Fresh Construction
Gated Society
+1","Residential apartment This is your chance to a 3 bhk apartment / flat for sale in belur howrah . Where luxury comes with affordability. Basic details: You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample natural light and has good ...",X81980526,"Sun Hilla Tower, Belur, Howrah",,,[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Spacious Interiors', 'Club house / Community Center']","['Tulsiram Lakshmi Devi Jaiswal Hospital', 'Eastern Railway Hospital', 'Satya Bala Devi ID Hospital', 'Swasti Nursing Home']",[],3 Bedrooms,3 Bathrooms,2 Balconies,,3rd   of 4 Floors,0 to 1 Year Old,
