iter	RMSE
0	6809283.775
1	6472486.756
2	6206433.086
3	5958734.981
4	5752566.278
5	5529632.631
6	5330290.075
7	5155703.629
8	4993237.813
9	4863161.813
10	4727699.671
11	4650834.606
12	4572825.963
13	4527045.325
14	4450194.074
15	4342115.942
16	4320080.258
17	4229837.374
18	4090940.317
19	4066244.054
20	3982555.552
21	3882582.946
22	3838470.543
23	3806928.414
24	3730862.696
25	3713250.928
26	3656370.739
27	3640733.064
28	3624380.177
29	3566575.756
30	3543793.081
31	3530231.04
32	3460149.413
33	3406445.981
34	3372327.097
35	3362714.123
36	3289762.633
37	3243735.218
38	3228783.051
39	3199299.202
40	3184572.691
41	3147239.983
42	3112849.768
43	3086473.805
44	3057142.481
45	3044797.797
46	3021257.915
47	3006410.967
48	2988910.774
49	2965710.518
50	2950669.721
51	2899580.068
52	2883411.041
53	2850627.731
54	2846452.238
55	2831228.794
56	2805964.026
57	2778671.975
58	2754898.891
59	2742874.639
60	2733380.975
61	2725837.83
62	2722522.327
63	2696327.974
64	2690997.734
65	2654438.76
66	2642301.896
67	2633956.655
68	2612497.63
69	2599246.05
70	2560596.731
71	2528429.221
72	2501429.144
73	2481666.451
74	2474348.04
75	2454369.928
76	2424794.944
77	2413368.716
78	2398447.558
79	2377637.705
80	2368445.142
81	2355932.688
82	2335625.561
83	2326491.498
84	2315011.954
85	2292603.177
86	2272642.064
87	2260296.539
88	2252966.486
89	2248990.778
90	2240712.319
91	2228281.49
92	2211497.312
93	2207243.765
94	2196496.517
95	2195485.987
96	2182422.904
97	2180051.705
98	2167771.064
99	2155076.676
100	2147654.314
101	2138931.514
102	2127455.143
103	2123246.283
104	2108942.257
105	2101710.281
106	2098026.467
107	2091579.568
108	2080454.588
109	2061640.614
110	2056155.194
111	2050287.275
112	2041653.054
113	2029215.948
114	2023962.682
115	2019181.226
116	2008807.449
117	1997795.463
118	1992991.631
119	1988134.957
120	1977622.173
121	1965291.608
122	1958780.038
123	1951388.477
124	1946099.672
125	1938773.385
126	1932243.653
127	1922481.476
128	1918246.967
129	1912804.171
130	1899161.657
131	1894292.257
132	1884512.368
133	1877507.509
134	1869313.211
135	1866907.334
136	1862626.352
137	1862095.792
138	1859894.521
139	1855229.392
140	1854415.804
141	1850823.222
142	1838586.648
143	1835952.412
144	1835326.386
145	1832274.608
146	1831800.566
147	1823835.53
148	1821136.568
149	1815526.211
150	1804413.618
151	1800818.133
152	1793214.119
153	1778283.599
154	1775776.129
155	1772837.906
156	1768561.682
157	1766932.244
158	1763385.463
159	1758196.203
160	1746008.588
161	1740609.505
162	1733743.541
163	1730581.581
164	1717965.698
165	1711700.866
166	1710200.59
167	1701216.822
168	1697047.082
169	1695691.542
170	1684975.576
171	1677013.152
172	1671615.722
173	1665049.833
174	1659015.621
175	1656726.632
176	1647805.257
177	1644620.857
178	1642406.48
179	1640008.105
180	1633542.736
181	1629162.791
182	1625048.396
183	1620343.402
184	1618917.598
185	1617360.656
186	1615971.122
187	1607014.724
188	1605187.601
189	1601321.86
190	1595784.74
191	1593407.462
192	1586082.034
193	1583076.156
194	1579963.491
195	1575974.374
196	1572118.957
197	1566526.346
198	1561740.943
199	1555482.967
200	1549855.685
201	1541398.286
202	1536839.754
203	1535748.941
204	1534758.505
205	1530812.211
206	1527219.747
207	1524361.4
208	1520658.594
209	1519041.725
210	1513994.189
211	1511877.251
212	1509182.592
213	1502648.814
214	1502415.204
215	1498269.292
216	1494341.544
217	1493491.306
218	1491954.092
219	1490515.267
220	1484136.688
221	1482103.325
222	1476461.838
223	1476237.267
224	1472292.853
225	1470263.639
226	1466808.727
227	1461884.725
228	1459089.764
229	1454345.314
230	1451686.839
231	1447985.31
232	1445939.452
233	1442487.445
234	1442298.378
235	1434926.542
236	1434750.845
237	1433099.005
238	1429798.677
239	1427354.942
240	1425325.298
241	1421600.57
242	1418937.432
243	1416314.321
244	1414179.211
245	1411935.55
246	1410126.863
247	1405439.272
248	1398469.44
249	1398299.464
250	1391812.628
251	1386432.336
252	1382457.359
253	1378998.425
254	1375094.499
255	1371164.76
256	1367757.361
257	1367006.466
258	1363534.547
259	1360335.112
260	1360183.777
261	1355604.168
262	1351610.467
263	1350936.69
264	1348891.579
265	1345393.072
266	1344087.703
267	1342473.909
268	1342337.428
269	1337738.52
270	1334005.96
271	1328037.242
272	1324920.763
273	1322521.834
274	1319618.89
275	1315753.078
276	1312945.165
277	1311342.911
278	1308320.695
279	1303845.288
280	1300105.526
281	1299140.098
282	1297481.437
283	1295891.366
284	1292262.222
285	1290676.256
286	1289037.466
287	1287673.839
288	1285161.551
289	1282641.304
290	1279315.465
291	1276667.442
292	1274237.47
293	1273031.931
294	1267998.321
295	1263047.355
296	1261339.402
297	1260969.334
298	1258973.915
299	1256722.464
300	1255285.535
301	1253014.454
302	1250898.312
303	1247609.27
304	1243488.784
305	1240926.113
306	1239659.227
307	1236497.341
308	1234446.536
309	1231974.718
310	1230713.392
311	1229644.848
312	1228473.165
313	1223504.738
314	1221022.138
315	1218099.339
316	1217215.275
317	1215443.473
318	1214957.715
319	1210756.073
320	1208440.531
321	1207443.196
322	1206326.955
323	1206035.817
324	1203390.423
325	1202555.129
326	1201446.71
327	1201156.527
328	1199060.672
329	1198940.069
330	1196928.74
331	1193941.214
332	1192893.081
333	1190543.474
334	1188673.261
335	1186423.248
336	1185181.951
337	1184400.125
338	1181098.398
339	1177745.605
340	1174436.366
341	1172191.29
342	1172074.223
343	1169892.892
344	1168934.835
345	1166899.557
346	1163472.45
347	1161058.616
348	1160059.747
349	1159978.384
350	1157103.32
351	1156450.909
352	1155314.296
353	1154068.134
354	1151410.474
355	1149057.601
356	1144581.295
357	1143606.617
358	1143496.534
359	1140577.199
360	1138032.857
361	1137025.548
362	1135735.711
363	1134985.084
364	1133873.822
365	1132925.829
366	1131599.414
367	1130063.367
368	1128619.557
369	1128547.356
370	1126818.667
371	1125780.793
372	1122723.753
373	1119660.851
374	1118773.785
375	1117768.468
376	1117662.522
377	1117565.808
378	1114714.595
379	1112311.607
380	1109044.532
381	1108963.085
382	1108869.868
383	1107368.56
384	1105141.47
385	1105043.552
386	1102292.288
387	1102215.125
388	1099704.746
389	1097942.426
390	1097420.096
391	1095682.831
392	1093073.141
393	1092986.288
394	1091597.769
395	1091520.153
396	1090430.017
397	1090342.393
398	1089456.808
399	1089371.489
400	1087298.298
401	1087220.646
402	1084640.698
403	1083175.919
404	1081847.512
405	1081775.12
406	1080132.432
407	1077899.156
408	1077835.357
409	1074627.744
410	1074569.75
411	1072642.179
412	1071174.577
413	1070052.482
414	1068907.241
415	1067489.727
416	1065683.408
417	1064887.386
418	1063029.526
419	1061306.501
420	1061244.941
421	1059810.024
422	1058887.695
423	1056305.492
424	1056232.144
425	1053991.959
426	1052728.577
427	1050314.747
428	1048317.221
429	1048250.465
430	1046014.592
431	1045044.198
432	1044192.741
433	1043498.808
434	1042631.528
435	1042565.906
436	1041176.225
437	1039202.722
438	1039167.648
439	1039117.528
440	1035520.677
441	1033469.671
442	1032354.932
443	1030717.018
444	1030666.272
445	1029100.037
446	1027141.789
447	1026571.299
448	1024266.476
449	1022738.873
450	1021588.365
451	1021529.621
452	1020191.172
453	1020148.509
454	1018307.452
455	1018265.647
456	1017638.926
457	1017215.077
458	1016515.822
459	1014404.539
460	1013266.975
461	1010788.719
462	1009675.292
463	1009245.908
464	1008182.37
465	1006674.796
466	1006407.606
467	1003986.699
468	1003235.417
469	1001183.941
470	999857.4937
471	996631.2045
472	995745.0958
473	994983.1728
474	993761.6813
475	992801.1429
476	991734.1302
477	988884.9285
478	987618.0344
479	987585.9077
480	986153.511
481	985644.368
482	983120.2784
483	982480.2883
484	981393.2329
485	978767.3532
486	978207.9876
487	977344.1902
488	975997.3147
489	974504.835
490	972774.0772
491	972068.3175
492	969876.7743
