iter	Passed	Remaining
0	0	353
1	1	326
2	1	316
3	2	311
4	3	313
5	3	319
6	4	324
7	5	329
8	5	325
9	6	321
10	7	320
11	7	320
12	8	327
13	9	324
14	9	320
15	10	318
16	10	310
17	11	309
18	12	312
19	12	310
20	13	307
21	14	305
22	14	303
23	15	300
24	15	299
25	16	298
26	16	296
27	17	293
28	17	291
29	18	290
30	19	289
31	19	288
32	20	287
33	20	286
34	21	285
35	21	280
36	22	280
37	22	279
38	23	278
39	24	279
40	24	279
41	25	278
42	26	278
43	27	281
44	27	282
45	28	281
46	29	280
47	29	280
48	30	279
49	30	278
50	31	278
51	32	277
52	32	276
53	33	276
54	33	273
55	34	272
56	34	271
57	35	271
58	36	270
59	36	270
60	37	269
61	38	269
62	38	269
63	39	268
64	40	268
65	40	267
66	41	267
67	41	266
68	42	266
69	43	266
70	43	265
71	44	264
72	45	264
73	45	263
74	46	263
75	47	262
76	47	261
77	48	262
78	49	261
79	49	260
80	50	260
81	50	259
82	51	259
83	52	258
84	52	257
85	53	257
86	54	257
87	54	256
88	55	256
89	56	256
90	56	255
91	57	254
92	58	254
93	58	254
94	59	253
95	60	253
96	60	252
97	61	251
98	62	251
99	62	250
100	63	249
101	63	249
102	64	248
103	65	247
104	65	247
105	66	246
106	66	245
107	67	245
108	68	245
109	69	244
110	69	244
111	70	243
112	70	242
113	71	242
114	72	241
115	72	241
116	73	241
117	74	240
118	75	240
119	75	240
120	76	239
121	77	238
122	77	238
123	78	237
124	79	237
125	79	236
126	80	235
127	80	235
128	81	234
129	82	233
130	82	233
131	83	232
132	84	231
133	84	231
134	85	230
135	86	230
136	86	229
137	87	229
138	88	228
139	88	228
140	89	227
141	90	227
142	90	226
143	91	226
144	92	225
145	92	225
146	93	224
147	94	223
148	94	222
149	95	222
150	95	221
151	96	221
152	97	220
153	97	219
154	98	219
155	99	218
156	99	217
157	100	217
158	100	216
159	101	215
160	102	215
161	102	214
162	103	214
163	104	214
164	105	213
165	105	213
166	106	212
167	107	212
168	108	211
169	108	211
170	109	210
171	110	209
172	110	209
173	111	208
174	111	207
175	112	207
176	113	206
177	113	205
178	114	205
179	115	204
180	115	203
181	116	203
182	116	202
183	117	201
184	118	201
185	119	200
186	120	201
187	121	200
188	122	200
189	122	200
190	123	199
191	124	199
192	124	198
193	125	198
194	126	197
195	126	196
196	127	196
197	128	195
198	128	194
199	129	194
200	130	193
201	130	193
202	131	192
203	132	191
204	132	191
205	133	190
206	134	189
207	134	189
208	135	188
209	136	187
210	136	187
211	137	187
212	138	186
213	139	186
214	139	185
215	140	184
216	141	184
217	141	183
218	142	182
219	143	182
220	143	181
221	144	180
222	145	180
223	145	179
224	146	179
225	147	178
226	147	177
227	148	177
228	149	176
229	149	176
230	150	175
231	151	174
232	152	174
233	152	173
234	153	172
235	153	172
236	154	171
237	155	170
238	155	170
239	156	169
240	157	168
241	157	168
242	158	167
243	159	166
244	159	166
245	160	165
246	161	165
247	161	164
248	162	163
249	163	163
250	163	162
251	164	161
252	165	161
253	165	160
254	166	160
255	167	159
256	167	158
257	168	158
258	169	157
259	169	156
260	170	156
261	171	155
262	171	154
263	172	154
264	173	153
265	173	152
266	174	152
267	174	151
268	175	150
269	176	150
270	176	149
271	177	148
272	178	148
273	178	147
274	179	146
275	180	146
276	180	145
277	181	144
278	182	144
279	182	143
280	183	142
281	184	142
282	184	141
283	185	140
284	185	140
285	186	139
286	187	139
287	187	138
288	188	137
289	189	136
290	189	136
291	190	135
292	191	135
293	191	134
294	192	133
295	193	133
296	193	132
297	194	131
298	194	131
299	195	130
300	196	129
301	196	129
302	197	128
303	198	127
304	198	127
305	199	126
306	200	125
307	200	125
308	201	124
309	202	123
310	202	123
311	203	122
312	204	121
313	204	121
314	205	120
315	206	120
316	207	119
317	207	118
318	208	118
319	208	117
320	209	116
321	210	116
322	211	115
323	211	115
324	212	114
325	213	113
326	213	113
327	214	112
328	215	111
329	215	111
330	216	110
331	217	109
332	217	109
333	218	108
334	218	107
335	219	107
336	220	106
337	221	106
338	221	105
339	222	104
340	223	104
341	223	103
342	224	102
343	225	102
344	225	101
345	226	100
346	227	100
347	227	99
348	228	98
349	229	98
350	229	97
351	230	96
352	231	96
353	231	95
354	232	94
355	233	94
356	233	93
357	234	92
358	235	92
359	235	91
360	236	91
361	237	90
362	237	89
363	238	89
364	239	88
365	239	87
366	240	87
367	241	86
368	241	85
369	242	85
370	243	84
371	243	83
372	244	83
373	245	82
374	245	81
375	246	81
376	246	80
377	247	79
378	248	79
379	248	78
380	249	77
381	250	77
382	250	76
383	251	75
384	251	75
385	252	74
386	253	73
387	253	73
388	254	72
389	255	71
390	255	71
391	256	70
392	256	69
393	257	69
394	258	68
395	258	68
396	259	67
397	260	66
398	260	66
399	261	65
400	262	64
401	262	64
402	263	63
403	264	62
404	264	62
405	265	61
406	266	60
407	266	60
408	267	59
409	268	58
410	268	58
411	269	57
412	269	56
413	270	56
414	271	55
415	271	54
416	272	54
417	273	53
418	273	52
419	274	52
420	275	51
421	275	50
422	276	50
423	277	49
424	277	49
425	278	48
426	279	47
427	280	47
428	280	46
429	281	45
430	281	45
431	282	44
432	283	43
433	283	43
434	284	42
435	285	41
436	285	41
437	286	40
438	287	39
439	287	39
440	288	38
441	289	37
442	289	37
443	290	36
444	291	35
445	291	35
446	292	34
447	293	34
448	293	33
449	294	32
450	295	32
451	295	31
452	296	30
453	297	30
454	297	29
455	298	28
456	298	28
457	299	27
458	300	26
459	300	26
460	301	25
461	302	24
462	302	24
463	303	23
464	304	22
465	304	22
466	305	21
467	306	20
468	306	20
469	307	19
470	308	18
471	308	18
472	309	17
473	310	17
474	311	16
475	311	15
476	312	15
477	312	14
478	313	13
479	314	13
480	314	12
481	315	11
482	316	11
483	316	10
484	317	9
485	317	9
486	318	8
487	319	7
488	320	7
489	320	6
490	321	5
491	322	5
492	322	4
493	323	3
494	324	3
495	324	2
496	325	1
497	325	1
498	326	0
499	327	0
