BHK,Price,Area,Bathrooms,Balcony,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,Latitude,Longitude,Floor_Ratio
3,5000000.0,1059.0,2,2,4.0,4.0,0,0,0,0,7.5,0,0,3,1,1,1,0,1,0,1,0,1,0,0,0,22.4803617,88.3377899,1.0
3,7700000.0,2370.0,2,2,14.0,14.0,1,0,0,0,7.5,2,2,6,1,1,0,0,0,1,0,0,1,0,0,0,22.5132661,88.2229919,1.0
3,5100000.0,1350.0,2,2,4.0,4.0,0,0,1,0,7.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,22.4523378,88.3045283,1.0
2,12500000.0,1175.0,2,0,4.0,5.0,0,0,0,0,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5044355,88.3721663,0.8
2,12200000.0,879.0,2,2,6.0,9.0,0,0,0,0,7.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5959131,88.4878653,0.6666666666666666
1,2500000.0,402.0,1,1,3.0,4.0,0,0,0,0,0.5,1,0,3,1,0,1,1,1,1,1,1,1,0,0,0,22.6357323,88.3398223,0.75
3,6800000.0,1305.0,2,2,6.0,14.0,0,0,0,0,7.5,1,1,4,1,0,0,1,1,0,1,1,0,1,0,0,22.5132661,88.2229919,0.42857142857142855
2,3400000.0,1086.0,2,3,1.0,11.0,0,0,0,0,12.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,22.69972,88.3519784,0.09090909090909091
3,9000000.0,1150.0,2,3,5.0,14.0,0,1,1,0,-1.42,2,0,8,1,1,1,1,1,1,1,1,1,1,0,0,25.7967438,89.5446589,0.35714285714285715
3,6600000.0,1022.0,3,2,3.0,4.0,0,0,0,0,0.5,1,0,3,1,1,1,1,1,1,1,1,0,0,0,0,22.6357323,88.3398223,0.75
4,9000000.0,1700.0,3,1,1.0,4.0,0,1,0,0,12.5,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,22.7241945,88.4837829,0.25
2,3500000.0,654.0,2,1,3.0,4.0,0,0,0,0,0.5,1,0,3,1,0,1,1,1,1,0,1,1,0,0,0,22.6357323,88.3398223,0.75
2,5500000.0,860.0,2,2,11.0,13.0,0,0,0,0,0.5,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,22.4440966,88.3017146,0.8461538461538461
2,3500000.0,950.0,2,1,3.0,3.0,0,0,0,0,0.5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,22.4803617,88.3377899,1.0
