,BHK,Price,Area,Location,Bathrooms,Balcony,Facing,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Others_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,LogPrice
0,3,5000000.0,1059.0,"Haridevpur, Putiary, Kolkata",2,2,Missing,4.0,4.0,0,0,0,0,0,7.5,0,0,3,1,1,1,0,1,0,1,0,1,0,0,0,15.424948670398354
1,3,7700000.0,2370.0,"BataNagar, Kolkata",2,2,Missing,14.0,14.0,1,0,0,0,0,7.5,2,2,6,1,1,0,0,0,1,0,0,1,0,0,0,15.856731016694035
2,3,5100000.0,1350.0,"Diamond Park, Joka",2,2,South,4.0,4.0,0,0,1,0,0,7.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,15.444751293772967
3,2,12500000.0,1175.0,"Kasba, Kolkata",2,0,Missing,4.0,5.0,0,0,0,0,0,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.341239282272525
4,2,12200000.0,879.0,"New Town, Kolkata",2,2,Missing,6.0,9.0,0,0,0,0,0,7.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.316946591670696
5,1,2500000.0,402.0,"Belur, Howrah",1,1,Missing,3.0,4.0,0,0,0,0,0,0.5,1,0,3,1,0,1,1,1,1,1,1,1,0,0,0,14.731801689838349
6,3,6800000.0,1305.0,"BataNagar, Kolkata",2,2,South-East,6.0,14.0,0,0,0,0,0,7.5,1,1,4,1,0,0,1,1,0,1,1,0,1,0,0,15.732433317205148
7,2,3400000.0,1086.0,"Konnagar, Hooghly",2,3,South-East,1.0,11.0,0,0,0,0,0,12.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15.039286283703994
8,3,9000000.0,1150.0,"Rajarhat, Kolkata",2,3,South,5.0,14.0,0,1,1,0,0,-1.42,2,0,8,1,1,1,1,1,1,1,1,1,1,0,0,16.012735246411598
9,3,6600000.0,1022.0,"Belur, Howrah",3,2,Missing,3.0,4.0,0,0,0,0,0,0.5,1,0,3,1,1,1,1,1,1,1,1,0,0,0,0,15.702580358511794
10,4,9000000.0,1700.0,"Chiriamore, BT Road",3,1,South-East,1.0,4.0,0,1,0,0,0,12.5,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,16.012735246411598
11,2,3500000.0,654.0,"Belur, Howrah",2,1,Missing,3.0,4.0,0,0,0,0,0,0.5,1,0,3,1,0,1,1,1,1,0,1,1,0,0,0,15.068273812173887
12,2,5500000.0,860.0,"Joka, Kolkata South",2,2,Missing,11.0,13.0,0,0,0,0,0,0.5,2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,15.520258832020865
13,2,3500000.0,950.0,"Haridevpur, Putiary, Kolkata",2,1,West,3.0,3.0,0,0,0,0,0,0.5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15.068273812173887
14,3,15000000.0,1457.0,"New Town, Kolkata",3,2,Missing,9.0,9.0,0,0,0,0,0,3.0,2,1,4,1,1,1,0,1,0,0,1,1,1,0,0,16.52356082573315
15,2,5200000.0,515.0,"Joka, Kolkata South",2,1,North-East,11.0,12.0,0,0,0,0,0,0.5,0,2,5,1,1,1,1,1,1,1,1,1,1,0,0,15.46416937585933
16,3,6000000.0,1223.0,"Kaikhali, VIP Road",2,2,South-East,4.0,4.0,0,0,0,0,0,7.5,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,15.607270193858982
17,3,4000000.0,1101.0,"Barasat, Kolkata North",2,2,South-East,4.0,4.0,1,0,0,0,0,3.0,2,1,4,1,0,0,1,0,0,0,1,1,1,0,0,15.201805169084134
18,2,4200000.0,840.0,"Barrackpore, Kolkata",2,2,South-East,3.0,14.0,0,0,0,0,0,3.0,1,0,5,1,1,1,1,1,1,1,1,1,1,0,0,15.250595321348806
19,3,23000000.0,1458.0,"Prce Anwar Shah Rd, Kolkata",2,2,North-East,19.0,35.0,0,0,0,1,0,12.5,0,2,3,1,0,0,0,0,0,1,0,1,1,0,0,16.951004817371683
20,3,5500000.0,1175.0,"Khardah, BT Road",2,2,South-East,10.0,14.0,0,0,0,0,0,3.0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,15.520258832020865
21,4,9250000.0,1850.0,"Lake Town, Kolkata",3,2,Missing,4.0,5.0,0,0,0,0,0,12.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16.04013421759671
22,3,5200000.0,1185.0,"Kamalgazi, Southern Bypass",2,1,South,2.0,4.0,0,0,0,0,0,0.5,2,0,1,1,1,0,0,0,0,0,1,0,1,0,0,15.46416937585933
23,4,10000000.0,1700.0,"Bansdroni, Kolkata",3,1,Missing,3.0,4.0,0,0,0,0,0,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.118095750958314
24,3,15000000.0,1587.0,"Alipore, Kolkata",2,1,Missing,4.0,5.0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.52356082573315
