Project Name,Link,Flat Type,Price,Area,Area Type,Price per Sqft,Location,Highlights,Description,Property ID,Address,Society,Rating,Furnishing,Facilities,Nearby,Overlooking,Bedrooms,Bathrooms,Balcony,Additional Rooms,Floor Number,Property Age/Possession,Facing
Mini Complex,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kalikapur-kolkata-south-1193-sq-ft-spid-Z83552404,3 BHK Flat,69.19 Lac,"1,193 sqft",Super Built-up Area,"5,800 /sqft","Kalikapur, Kolkata","Kavi Sukanto within 1km
Calcutta Public school within 500m
+2","G+3, residential 3 block mini complex, total 18 flat in this complex. Car parking charges for extra rs 6 lakhs.. This 3 bhk apartment is available for sale in mini complex, one of the most prominent projects for flats in kalikapur, kolkata south. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 1193 sq.Ft....",Z83552404,"Mi Complex , Kalikapur, Kolkata",,,[],"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal']","['Maa kali temple', 'Shoni thakur mandir', 'Maa Kali mandir', 'Hindu Temple', 'Old Radha Krishna Temple', 'Lord Shiva Temple']","['Main Road,Others']",3 Bedrooms,2 Bathrooms,1 Balcony,Others,2nd   of 3 Floors,0 to 1 Year Old,South-West
On Request,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-nayabad-kolkata-south-1111-sq-ft-spid-Z83556612,3 BHK Flat,52 Lac,"1,111 sqft",Super Built-up Area,"4,680 /sqft","Nayabad, Kolkata","North-East Facing
Kavi Subhash within 2.5km
+2","This 3 bhk apartment is available for sale in on request, one of the most prominent projects for flats in nayabad, kolkata south. Containing 3 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a super built up area of 1111 sq.Ft. The residential building has 3 floors in total and the flat for sale is located on the 1st floor. An added advantage of this 1 years old flat is that it ...",Z83556612,"On Request, Nayabad, Kolkata",,,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal']","['Netaji Eye Hospital', 'Sakuntala Nursing Home', 'Parnasree Bus Stand', 'Sanjay Tea Stall', 'Upen Tea Shop', 'Swapan Tea Stall']","['Others,Main Road']",3 Bedrooms,2 Bathrooms,1 Balcony,Others,3rd   of 3 Floors,1 to 5 Year Old,North-East
On Request New,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-santoshpur-kolkata-south-1400-sq-ft-spid-Z83555424,3 BHK Flat,75.6 Lac,"1,400 sqft",Super Built-up Area,"5,321 /sqft","Santoshpur, Kolkata","Jatinder nandi metro within 1.5km
Indus valley school within 2km
+2","This beautiful 3 bhk flat in santoshpur, kolkata south is situated in on request, one of the popular residential society in kolkata south. Containing 3 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a super built up area of 1400 sq.Ft. This flat lies on the 2nd level of a 3 storey building. This is a ready to move project and the property is 1 years old. Car parking charges for...",Z83555424,"On Request New, Santoshpur, Kolkata",,,[],"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal']","['Netaji Eye Hospital', 'Sakuntala Nursing Home', 'Parnasree Bus Stand', 'Sanjay Tea Stall', 'Upen Tea Shop', 'Swapan Tea Stall']","['Others,Main Road']",3 Bedrooms,2 Bathrooms,2 Balconies,Others,2nd   of 3 Floors,1 to 5 Year Old,South-West
Mini Complex,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kalikapur-kolkata-south-1300-sq-ft-spid-Q83554006,3 BHK Flat,78 Lac,"1,300 sqft",Super Built-up Area,"6,000 /sqft","Kalikapur, Kolkata","Kavi Sukanto within 1km
DPS School within 1.5km
+2","Mini complex is one of kolkata south's most sought after destination for apartments and this 3 bhk flat in kalikapur is your opportunity to be a part of this community. The flat occupies a super built up area of 1300 sq.Ft. That consists of 3 bedrooms, 2 bathrooms and 1 balcony. The residential building has 3 floors in total and the flat for sale is located on the 2nd floor. This 1-5 years old ...",Q83554006,"Mi Complex, Kalikapur, Kolkata",,,[],"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal']","['Netaji Eye Hospital', 'Sakuntala Nursing Home', 'Parnasree Bus Stand', 'Sanjay Tea Stall', 'Upen Tea Shop', 'Swapan Tea Stall']","['Others,Main Road']",3 Bedrooms,2 Bathrooms,1 Balcony,Others,2nd   of 3 Floors,1 to 5 Year Old,South-East
On Request New,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kalikapur-kolkata-south-900-sq-ft-spid-E83554392,2 BHK Flat,54 Lac,900 sqft,Super Built-up Area,"6,000 /sqft","Kalikapur, Kolkata","Kavi Sukanto within 1km
DPS School within 2km
+2","This lovely 2 bhk apartment/flat in kalikapur is available for sale in one of kolkata south's most popular projects, on request. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a super built up area of 900 sq.Ft. This flat lies on the 2nd level of a 3 storey building. This is a ready to move project and the property is 1 years old. Car parking charges for extra rs 6...",E83554392,"On Request New, Kalikapur, Kolkata",,,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal']","['Netaji Eye Hospital', 'Sakuntala Nursing Home', 'Parnasree Bus Stand', 'Sanjay Tea Stall', 'Upen Tea Shop', 'Swapan Tea Stall']","['Others,Main Road']",2 Bedrooms,2 Bathrooms,1 Balcony,Others,2nd   of 3 Floors,1 to 5 Year Old,South-East
Mini Complex,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-madurdaha-kolkata-south-1214-sq-ft-spid-X83551502,3 BHK Flat,70.41 Lac,"1,214 sqft",Super Built-up Area,"5,800 /sqft","Madurdaha, EM Bypass, Kolkata South","Kavi Sukanto within 1km
Calcutta Public school within 1km
+2","G+3, 3 block new booking complex. Total 18 flat in this complex.. Check out this 3 bhk apartment for sale in mini complex, a popular residential project that houses in-Demand flats in madurdaha, kolkata south. Constructed on a super built up area of 1214 sq.Ft., the flat comprises 3 bedroom(s), 2 bathrooms and 1 balcony. The flat has a total of 3 floors and this property is situated on 1st floo...",X83551502,"Mi Complex , Madurdaha, EM Bypass, Kolkata South",,,[],"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal']","['Maa kali temple', 'Shoni thakur mandir', 'Maa Kali mandir', 'Hindu Temple', 'Lord Shiva Temple', 'Old Radha Krishna Temple']","['Others,Main Road']",3 Bedrooms,2 Bathrooms,1 Balcony,Others,1st   of 3 Floors,1 to 5 Year Old,South-East
Mayfair Ganguly,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-chaitalpara-howrah-600-sq-ft-spid-V82560884,2 BHK Flat,24 Lac,600 sqft,Carpet Area,"4,000 /sqft","Chaitalpara, Bally, Howrah",Recently Renovated,"The location is primeit connects mainline bally, chord line bally, and bally ghat station, all within walking distance. Dakhineswar is just a stop away from bally ghat, ensuring easy access to the metro railway as well.",V82560884,"Mayfair Ganguly, Chaitalpara, Bally, Howrah",,,[],"['Water Storage', 'Recently Renovated', 'Natural Light']","['Dakshineshwar metro station', 'Nilima Matri Sadan', 'Sunayan Eye Clinic', 'Uttarpara State General Hospital', 'Netra Jyoti Eye Care Centre']",[],2 Bedrooms,2 Bathrooms,1 Balcony,,3rd   of 4 Floors,10+ Year Old,South
Siddha Eden LakeVille,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-siddha-eden-lakeville-bt-road-kolkata-north-842-sq-ft-spid-W82735024,2 BHK Flat,70 Lac,842 sqft,Super Built-up Area,"8,313 /sqft","BT Road, Kolkata","Noapara within 1.5km
Fresh Construction
+2",This brand new two bhk flat is available for sale in siddha eden lakeville.,W82735024,"Siddha Eden LakeVille, BT Road, Kolkata",Siddha Eden LakeVille,,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Noapara Metro Station', 'City Centre Salt Lake', 'Rai Mohon Banerjee Rd', 'Belghoria Expy', 'Central Modern School']",['Others'],2 Bedrooms,2 Bathrooms,1 Balcony,,4th   of 24 Floors,0 to 1 Year Old,South
Siddha Eden LakeVille,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-siddha-eden-lakeville-bt-road-kolkata-north-896-sq-ft-spid-A82709592,2 BHK Flat,74 Lac,896 sqft,Super Built-up Area,"8,258 /sqft","BT Road, Kolkata","North Facing
Noapara within 1km
+2","This beautiful two bhk flat is available for sale in siddha eden lakeville, bonhooghly.",A82709592,"Siddha Eden LakeVille, BT Road, Kolkata",Siddha Eden LakeVille,,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Noapara Metro Station', 'City Centre Salt Lake', 'Rai Mohon Banerjee Rd', 'Belghoria Expy', 'Central Modern School']","['Pool,Others,Park/Garden,Club,Main Road']",2 Bedrooms,2 Bathrooms,1 Balcony,,14th   of 24 Floors,1 to 5 Year Old,North
Tata Avenida,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tata-avenida-new-town-kolkata-east-1770-sq-ft-spid-M82416270,3 BHK Flat,2.3 Cr,"1,770 sqft",Super Built-up Area,"12,994 /sqft","New Town, Kolkata","North-East Facing
New town Nearby
+2","Located in the popular residential address of new town, kolkata east, tata avenida is one of the most preferred destination for apartments in kolkata east. This 3 bhk flat is your ticket to be a part of this community. This is a north-East-Facing property. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of...",M82416270,"Tata Avenida, New Town, Kolkata",Tata Avenida,,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","['City Centre 2 - Metro Station', 'Axis Mall', 'Biswa Bangla Sarani', 'Delhi Public School Megacity', 'Amity University Kolkata']","['Pool,Park/Garden,Main Road,Sea facing,Others,Club']",3 Bedrooms,3 Bathrooms,2 Balconies,Others,15th   of 29 Floors,0 to 1 Year Old,North-East
